Country;name;Admin1;SubDiv;Year;Updates
4005;Albania;;;1985;
4005;Albania;;;1986;
4005;Albania;;;1987;
4005;Albania;;;1988;
4005;Albania;;;1989;
4005;Albania;;;1990;
4005;Albania;;;1991;
4005;Albania;;;1992;
4005;Albania;;;1993;
4005;Albania;;;1994;
4005;Albania;;;1995;
4005;Albania;;;1996;
4005;Albania;;;1997;
4005;Albania;;;1998;
4005;Albania;;;1999;
4005;Albania;;;2000;
4005;Albania;;;2001;
4005;Albania;;;2002;
4005;Albania;;;2003;
4005;Albania;;;2004;
4005;Albania;;;2005;
4005;Albania;;;2006;
4005;Albania;;;2007;
4005;Albania;;;2008;
4005;Albania;;;2009;
4005;Albania;;;2010;
4005;Albania;;;2011;
4005;Albania;;;2012;
4005;Albania;;;2013;
4005;Albania;;;2014;
4005;Albania;;;2015;
4008;Andorra;;;2010;
4008;Andorra;;;2011;
4008;Andorra;;;2012;
4008;Andorra;;;2013;
4008;Andorra;;;2014;
4008;Andorra;;;2015;
4008;Andorra;;;2016;
4008;Andorra;;;2017;
4008;Andorra;;;2018;
4008;Andorra;;;2019;
4008;Andorra;;;2020;
2010;Antigua and Barbuda;;;1960;
2010;Antigua and Barbuda;;;1961;
2010;Antigua and Barbuda;;;1962;
2010;Antigua and Barbuda;;;1963;
2010;Antigua and Barbuda;;;1964;
2010;Antigua and Barbuda;;;1965;
2010;Antigua and Barbuda;;;1966;
2010;Antigua and Barbuda;;;1969;
2010;Antigua and Barbuda;;;1970;
2010;Antigua and Barbuda;;;1971;
2010;Antigua and Barbuda;;;1972;
2010;Antigua and Barbuda;;;1973;
2010;Antigua and Barbuda;;;1974;
2010;Antigua and Barbuda;;;1975;
2010;Antigua and Barbuda;;;1976;
2010;Antigua and Barbuda;;;1977;
2010;Antigua and Barbuda;;;1978;
2010;Antigua and Barbuda;;;1979;
2010;Antigua and Barbuda;;;1980;
2010;Antigua and Barbuda;;;1981;
2010;Antigua and Barbuda;;;1982;
2010;Antigua and Barbuda;;;1983;
2020;Argentina;;;1955;
2020;Argentina;;;1956;
2020;Argentina;;;1957;
2020;Argentina;;;1958;
2020;Argentina;;;1959;
2020;Argentina;;;1960;
2020;Argentina;;;1961;
2020;Argentina;;;1962;
2020;Argentina;;;1963;
2020;Argentina;;;1964;
2020;Argentina;;;1965;
2020;Argentina;;;1966;
2020;Argentina;;;1967;
2020;Argentina;;;1968;
2020;Argentina;;;1969;
2020;Argentina;;;1970;
2020;Argentina;;;1971;
2020;Argentina;;;1972;
2020;Argentina;;;1973;
2020;Argentina;;;1974;
2020;Argentina;;;1975;
2020;Argentina;;;1976;
2020;Argentina;;;1977;
2020;Argentina;;;1978;
2020;Argentina;;;1979;
2020;Argentina;;;1980;
2020;Argentina;;;1981;
2020;Argentina;;;1982;
2020;Argentina;;;1983;
2020;Argentina;;;1984;
2020;Argentina;;;1985;
2020;Argentina;;;1986;
2020;Argentina;;;1987;
2020;Argentina;;;1988;
2020;Argentina;;;1989;
2020;Argentina;;;1990;
2020;Argentina;;;1991;
2020;Argentina;;;1992;
2020;Argentina;;;1993;
2020;Argentina;;;1994;
2020;Argentina;;;1995;
2020;Argentina;;;1996;
4007;Armenia;;;1981;
4007;Armenia;;;1982;
4007;Armenia;;;1983;
4007;Armenia;;;1985;
4007;Armenia;;;1986;
4007;Armenia;;;1987;
4007;Armenia;;;1988;
4007;Armenia;;;1989;
4007;Armenia;;;1990;
4007;Armenia;;;1991;
4007;Armenia;;;1992;
4007;Armenia;;;1993;
4007;Armenia;;;1994;
4007;Armenia;;;1995;
4007;Armenia;;;1996;
4007;Armenia;;;1997;
4007;Armenia;;;1998;
4007;Armenia;;;1999;
4007;Armenia;;;2000;
4007;Armenia;;;2001;
4007;Armenia;;;2002;
4007;Armenia;;;2003;
4007;Armenia;;;2004;
4007;Armenia;;;2005;
4007;Armenia;;;2006;
4007;Armenia;;;2007;
4007;Armenia;;;2008;
4007;Armenia;;;2009;
4007;Armenia;;;2012;
4007;Armenia;;;2013;
4007;Armenia;;;2014;
4007;Armenia;;;2015;
4007;Armenia;;;2016;
4007;Armenia;;;2017;
4007;Armenia;;;2018;
4007;Armenia;;;2019;
5020;Australia;;;1950;
5020;Australia;;;1951;
5020;Australia;;;1952;
5020;Australia;;;1953;
5020;Australia;;;1954;
5020;Australia;;;1955;
5020;Australia;;;1956;
5020;Australia;;;1957;
5020;Australia;;;1958;
5020;Australia;;;1959;
5020;Australia;;;1960;
5020;Australia;;;1961;
5020;Australia;;;1962;
5020;Australia;;;1963;
5020;Australia;;;1964;
5020;Australia;;;1965;
5020;Australia;;;1966;
5020;Australia;;;1967;
5020;Australia;;;1968;
5020;Australia;;;1969;
5020;Australia;;;1970;
5020;Australia;;;1971;
5020;Australia;;;1972;
5020;Australia;;;1973;
5020;Australia;;;1974;
5020;Australia;;;1975;
5020;Australia;;;1976;
5020;Australia;;;1977;
5020;Australia;;;1978;
5020;Australia;;;1979;
5020;Australia;;;1980;
5020;Australia;;;1981;
5020;Australia;;;1982;
5020;Australia;;;1983;
5020;Australia;;;1984;
5020;Australia;;;1985;
5020;Australia;;;1986;
5020;Australia;;;1987;
5020;Australia;;;1988;
5020;Australia;;;1989;
5020;Australia;;;1990;
5020;Australia;;;1991;
5020;Australia;;;1992;
5020;Australia;;;1993;
5020;Australia;;;1994;
5020;Australia;;;1995;
5020;Australia;;;1996;
5020;Australia;;;1997;
5020;Australia;;;1998;
5020;Australia;;;1999;
5020;Australia;;;2000;
5020;Australia;;;2001;
5020;Australia;;;2002;
5020;Australia;;;2003;
5020;Australia;;;2004;
5020;Australia;;;2005;
5020;Australia;;;2006;
5020;Australia;;;2007;
5020;Australia;;;2008;
5020;Australia;;;2009;
5020;Australia;;;2010;
5020;Australia;;;2011;
5020;Australia;;;2012;
5020;Australia;;;2013;
5020;Australia;;;2014;
5020;Australia;;;2015;
5020;Australia;;;2016;
5020;Australia;;;2017;
5020;Australia;;;2018;
5020;Australia;;;2019;
5020;Australia;;;2020;
5020;Australia;;;2021;new
4010;Austria;;;1950;
4010;Austria;;;1951;
4010;Austria;;;1952;
4010;Austria;;;1953;
